"serial","儲存日期","序號","主旨","提問日期","答覆內容"
"1198","0000-00-00 00:00:00","24108","請問有那些通用的方法處理英文書的作者號？ 謝謝！","2014-04-13","英文書的作者號一般可採用 1. 四角號碼著者號取碼 請參考中文圖書分類法2007年版附表附錄1: http://catbase.ncl.edu.tw/App3/html/080815/b13_app01.pdf 2. 克特號取碼方法 請參考中文圖書分類法2007年版附表附錄3: http://catbase.ncl.edu.tw/App3/html/080815/b13_app03.pdf 錢月蓮  20140414 """
"1199","0000-00-00 00:00:00","24109","http://catalog.digitalarchives.tw/item/00/1b/c1/50.html至元通行寶鈔 此登錄號：187824-149想請問該登錄號是依據何種原則或是分類來編號的?謝謝！","2014-04-15","登錄號的構成設計很多元，由系統廠商配合使用機構需求設計產生，若為圖書館自動化系統，一般有兩種情形，一是機構館藏條碼流水號，一是系統自動產生的虛擬條碼號，此種號碼通常以系統號 + 流水號的形式呈現。 187824-149是「至元通行寶鈔」拓片的登錄號，為中央研究院歷史語言研究所的典藏，該號碼可能是原始拓片登錄編號，被註記於青銅器拓片資料庫中，也可能是青銅器拓片資料庫本身的文件編號，您詢問的對象應該不是國圖而是中研究史語所!! 錢月蓮敬答  20140418 """
"1200","0000-00-00 00:00:00","24110","您好,本館西文圖書採國會分類法, 如遇到索書號全部一樣時, 區分號如何取?謝謝!","2014-04-17","同類號又同作者號時，再區分方式有2種： (1) 在作者號後 + 阿拉伯數字 或 (2) 在作者號後 + 英文字母 When two authors share the same number, it is advisable to add a digit. A good number to select is 5, as there is then room on both sides for additional interpolation as necessary. A book already in the collection by Richard Colby would be C686. A new book to be added to the same classification number by another author named Colby would need a different author number. A book by Simeon Coby could then be C6865. This leaves room for the insertion of additional authors between Richard and Simeon ─ using C6862, C6863 and C6864. 上述原文摘自Cutter表中”How to use the Cutter-Sanborn Table”，係用阿拉伯數字的作法，第一位用C686, 第二位同號作者用C6865, 是預留2-4間的空號。當然也可以採用流水號1, 2, 3, …的方式。 國圖是用a, b, c,…. 的方式 如第一位作者C686, 第二位同索書號的作者用C686a, 如此類推。 錢月蓮敬答  20140419 """
"1201","0000-00-00 00:00:00","24111","您好： 想針對有關「食記」這類圖書分類就教於先進。請問介紹臺灣某一縣市地方美食的圖書，分入538.7833適合嗎？經參考編目較具權威性的大學圖書館，部份歸為427.07「飲食-文集」，造成同一作者的同性質作品分放在不同架位。煩請 貴單位能冗空代為解疑，感謝您！","2014-04-18","類號427是收錄飲食及烹飪方面的文獻，重在食物的烹飪方法與食材的保存及餐桌餐具佈置等。 類號538.78是收錄各國飲食風俗的文獻，是各國相沿而成的有關飲食方面的風尚習慣，譬如中秋節吃月餅, 上元節吃元宵, 或過新年要吃哪些食物等等。 若為介紹臺灣某一縣市地方美食的圖書，個人以為歸入臺灣各縣市旅遊或人文較為適當。以上就類的屬性提出一些看法供參，實際仍須以在編文獻的內容來歸類。 錢月蓮敬答  20140419 """
"1202","0000-00-00 00:00:00","24112","您好：想請教先進關於「匾額」圖書分類號，因找不到適當的分類號，分入929.7該類號適當嗎?又，標題該如何給呢？煩請 貴單位能撥冗解疑，感謝您！","2014-04-21","匾額在《營造法式》中稱為「牌」，是中國傳統建築中的一種裝飾，一般掛在門楣與簷頂之間，或於大門廳堂，或於亭台水榭，或於船坊，用做建築的標記，除建築園林匾，也有用於商店招牌，或祝賀獎勵。匾額可稱中國傳統文化瑰寶，集文學、書法、雕刻和建築裝飾藝術於一。 歸類上因沒有實際看到在編文獻，不敢隨便斷言，僅提供幾個建議的思考方向： 921.7   建築裝飾 綜論匾額者 932.72 建築雕塑 專論匾額製作與雕刻者 856.4   應用文範 專論匾額賀詞者，可入語文類應用文 以上供參 錢月蓮敬答  20140421 """
"1203","0000-00-00 00:00:00","24113","您好,我想請教關於電腦軟體的取碼。根據八版的編目規則為312.949後+英文名稱或中文名稱拼音之克特號碼順序排列，依國家圖書館克符號取碼方法取碼，如 Windows = W5。如Microsoft Outlook，以Outlook取碼，按2007年版第778頁表3.1取碼為O9，分類號為312.949O9；或避免取碼重複按表3.5取至名稱的第3個字母t，即為312.949O97。不知是否正確？但如Microsoft Office，以Office取碼，按2007年版第778-779頁應如何取碼？","2014-04-22","一、您的做法是正確的： Windows 取碼 W5 Outlook 取碼 312.949O9 或 312.949O97 二、Microsoft Office按2007年版第778-779頁取碼 Office沒有剛好的對應碼可取，故參考克特號取碼規則之一： Occasionally there will be no number that fits a name exactly. In that case use the preceding number，即對照表中，若沒與作者姓氏有恰恰好之對應，取「前者」。因此，Microsoft Office按3.1規則取碼為O3，f在字母d與l之間，取前者d之對應碼3。 但這也不是絕對的，還須配合各館各自的館藏情況而定，以本例來說： 1. 若館藏O3原本已被其他軟體所用，又不採用3.5規則，也有可能取碼為O4。 2. 若館藏O3原本已被其他軟體所用，再採3.5規則取第3個字母之對應碼，則取碼為O33。 錢月蓮敬答  20140424 """
"1204","0000-00-00 00:00:00","24114","您好我是大學圖書館的編目館員,想請問:由於本館目前尚在使用中國圖書分類法(增訂七版),若想改用中文圖書分類法2007年版,那麼原本已在書庫的圖書,一般圖書館會如何處理?是會回溯修改?或是既往不咎?或有其他建議?謝謝","2014-04-23","一般不會回溯修改, 擇定一個時間分界點即可。 若貴館資源充裕要全部或部分回溯修改也無不可, 此為政策性問題, 選擇適合自己的方法即可。 錢月蓮敬答  20140424 """
"1205","0000-00-00 00:00:00","24115","855是中國散文，請問 855.48 是什麼分類? 謝謝!","2014-04-28","應該沒有這樣的分類號! 請問資訊得自何處? 按2007年版中文圖書分類法，現代散文之總集及別集都入此，只有855這個類號! 錢月蓮敬答  20140429 """
"1206","0000-00-00 00:00:00","24116","有關之前詢問的 855.48。請參見http://nbinet3.ncl.edu.tw/search~S10*cht/?searchtype=m&searcharg=855.48&searchscope=10&SORT=D&extended=0&SUBMIT=%E6%9F%A5%E8%A9%A2&searchlimits=&searchorigarg=m855.48+8853.3-2","2014-05-01","該類號並非國圖所採用。 建議不要使用,該類號並不符合類表的邏輯架構, 855下的註釋說明已經說得很清楚:「現代散文總集及別集入此」, 何需再自行複分? 錢月蓮敬答  20140328"
"1207","0000-00-00 00:00:00","24117","您好：請教先進，室內設計""類的書刊歸入""422.1""還是""967""適合?其分別為何?另，教消費者如何購屋的書刊，歸入""544.89""還是""422.1""洽當?謝謝您!煩請 貴單位能冗空為後輩解此一疑問。""","2014-05-06","室內設計入967為宜。但如家具選購擺設、窗簾等則入家庭裝飾422.3。 教消費者如何購屋的書刊可考慮554.89是房地產業或422.1購屋要則 Guidelines for buying house；建屋要則 Guidelines for building house，視文獻的內容而定。422.1此類號偏重整體居住環境所須注意的相關事項，554.89則著重購屋的交易與買賣。 錢月蓮敬答 20140507 """
"1208","0000-00-00 00:00:00","24118","您好本人剛承接圖書館業務，想詢問幾個問題一、請問同一本書的附錄(如成果報告一本，附錄為另一本)是否需另編不同的登錄號呢？二、本圖書室的性質為專門圖書館，先前的館員都只有編列登錄號及架號，想請教是否需要編訂索書號才能便於管理呢？謝謝！","2014-05-14","一、附錄若為另一本，仍要編不同的 登錄號 。 登錄號的作用(1)表示館藏及財產號；(2)便於清點與管理；(3)用登錄號可進行精確檢索結果 二、按理照索書號排較好，可以精確揭示館藏的學科或專科風貌。 錢月蓮敬答  20140514 """
"1209","0000-00-00 00:00:00","24119","請問：1 《常用成語典》的作者號為什麽是 8347（國家圖書館）？2 《面對人生的10堂課》的作者號為什麽是 8729（國家圖書館）？3 《第一次英語大發現 : 親子手冊》的作者號為什麽是 8933（國家圖書館）？4 《第一次英語大發現》套書又應如何編目？5 如果套書是兒童書（J），親子手冊、導讀亦應當作兒童書（J）？謝謝指教。","2014-05-11","1.《常用成語典》的作者號為什麽是 8347（國家圖書館）？ 《常用成語典》作者為「弘雅圖書辭典編纂委員會」，國圖編目員取「弘雅辭」三個字為作者號8347，是從$a弘雅圖書公司取2碼，附屬層級$b辭典編纂委員會取1碼而來。 貴館可以按先後次序逕取前三個字「弘雅圖」8345即可。 2.《面對人生的10堂課》的作者號為什麽是 8729（國家圖書館）？ 國圖編目員是取該書的主編「林慈敏」為作者號。有些圖書館會以叢書名為作者號，即取書名前三個字「面對人」8449為作者號。 3.《第一次英語大發現 : 親子手冊》的作者號為什麽是 8933（國家圖書館）？ 國圖的編目員將作者號直接取了編譯者「朱燕翔」。 這樣的作法會導致原本應該放在一起的書被拆散，建議您該這樣取： 805.18 8826 (026) → 叢書名8826的手冊 8933 → 手冊作者「朱燕翔」的作者號8933 如此，親子手冊才能與(1)《第一次英語大發現: 語音CD》及(2)《第一次英語大發現 : 中文導讀》歸置一起。 4.《第一次英語大發現》套書又應如何編目？ 此套書的第一個主體應為《第一次英語大發現 : 語音CD》，顧名思義是教兒童英語的讀物；《第一次英語大發現 : 中文導讀》是輔助前套CD的衍生物，或可視為前套CD的中譯本，兩套書間應建立相關關係，除利用欄位787作連結外，應以書名取作者號，如此兩套書才能夠集中。而《第一次英語大發現 : 親子手冊》顯然是給父母親閱讀的書，目的是教導父母如何幫助孩子閱讀這兩套書用的，是前兩套書的使用手冊，所以也不應與前兩套書分開。同樣的透過欄位787連結前兩套書。 5   如果套書是兒童書（J），親子手冊、導讀亦應當作兒童書（J）？ 基本上三者應視為一個整體來處理。《中文導讀》與《親子手冊》都是輔助該套書的閱讀工具。假設J特藏代碼的書與沒有J的書是分開排架的話，《中文導讀》與《親子手冊》建議也應冠特藏代碼「J」。 錢月蓮敬答  20140512 """
"1210","0000-00-00 00:00:00","24120","兒童書有很多是套書,盡量將它們套編比較容易處理,但定著者號方面，會遇到下列情況,請指教。1 雖然現時此叢書系列全是一個作者的作品，理可以取此作者為著者號，但出版社或會加入另外的作者，這就有點麻煩。可否從開始就取叢書名為著者號？2 如果肯定只是同一個作者如《亞森羅蘋全集》，取作者為著者號就比較適合吧？3 為什麽國家圖書館《亞森羅蘋全集》分類號是876.57而不是876.77?謝謝！","2014-05-18","1. 叢書的作者號 叢書作者若為同一人(或稱套書)，作者號取該書作者。 叢書作者若不只一人，作者號取叢書名或主編名，個人較鼓勵大家用叢書名，有些叢書的主編會換。 如《亞森羅蘋全集》，作者皆為(法)盧布朗Maurice, Leblanc，所以取盧布朗之作者號。 2.《亞森羅蘋全集》的分類號 《亞森羅蘋全集》為法國小說，類號是876.57。 作者Leblanc Maurice為法國人，先取法國文學876，再依照各國文學複分表(中文圖書分類法 2007年版 p.597)，文學體裁為小說，取複分號57，所以是876.57。 錢月蓮敬答  20140519 """
"1211","0000-00-00 00:00:00","24121","兒童書有很多是套書,盡量將它們套編及取集叢號為作者號，但遇到下列情況,請指教。1 有些叢書是沒有編號的，例如，《格林愛與關懷繪本》、《格林認識自我繪本》，如何處理？2 有些叢書是有編號，但又與書籍本身不相乎。例如，《用點心學校》是叢書《文學館 301》、《用點心學校2》是叢書《文學館 310》、《用點心學校3》是叢書《文學館 314》。 用集叢號的話，這3本書會在架上隔開了。如果直接用書題名或作者名，卻與整套叢書脫了節。懇請指教。","2014-05-19","1  有些叢書是沒有編號的，例如，《格林愛與關懷繪本》、《格林認識自我繪本》，如何處理？ 沒有編號又要整套編，就自訂編號並於附註項說明。 2. 非計畫性出版的叢書最好單冊處理。有些系列的書只是出版社粗略的歸類，並沒有必要為牽就系列叢書硬要放在一起，叢書名有自己的欄位(MARC 21 490 / CMARC 225)也可以被檢索的到，凡書都先考慮套編只會凸顯編目員的懶惰，因為會漏失每個單冊中的許多資訊! 《用點心學校》有好幾冊，若出版時間有間隔，取作者號後加「‧」的方式較理想，譬如： 用點心學校   → 859.6 8745 用點心學校2 → 859.6 8745.2 用點心學校3 → 859.6 8745.3 用點心學校4 → 859.6 8745.4 單本編用續編號「‧」點來表示。 若硬要整套編取叢書名的編號v.301, v.310, v.314...是一定無法集中的。除非捨棄叢書編號，於分類號後先取叢書名當第一個作者號，再取各單本書的各別作者號。如： 用點心學校   → 859.6 8666 8745 用點心學校2 → 859.6 8666 8745.2 100 1_ $a林哲璋 245 1_ $a用點心學校 /$c林哲璋.... 490 1_ $a文學館 ；$v301 編目也需要判斷，了解理論與處理的大原則，不要強制規定太多小細則，反而失去彈性。 錢月蓮敬答  20130523 """
"1212","0000-00-00 00:00:00","24122","請問:Colonial modernity in Korea"" ISBN 0674005945 此書為平裝本書名頁上出現""Published by the Harvard University... 1999""版權頁上""copyright 1999""版權頁""First paperback edition, 2000""請問此書的260出版年該如何著錄?""","2014-05-21","版本為First paperback edition，此版的ISBN為0674005945 此版本的發行日為2000 版權年copyright 1999 出版日期和版權日期不同時，可同時著錄於260 $c 。如： $aCambridge, Mass. ：$b Harvard University...,$c2000, c1999 此書在1999年應已發行且版權年與發行年皆為1999, 查LC IT'MARC中有該筆書目資料，ISBN是0674142551與此版本不同。 錢月蓮敬答  20140523"
"1213","0000-00-00 00:00:00","24123","請問甚麼是專業複分表?? 特質??","2014-05-21","我們沒有使用「專業複分表」這樣的用語，我想您可能指得是「專用複分表」或「專類複分表」表吧。 複分表：又稱附表或輔助表，是分類法必要的構成。 複分表的功用：是將類目中有相同細分標準的子目特徵抽離出來，編製成表單並配以特定代碼，供主表相關類目進一步細分所用。 複分表的種類：通用複分表、專類複分表。 通用複分表，指除少數例外可適用所有的大小類目；專類複分表則只限用於某大類或是某一大類下的子類。以中文圖書分類法而言，此種專用的類表共有45種，如經書複分表、中國哲學家複分表、各國文學複分表...，即針對某個類目專用的複分表。譬如通用複分表中詞典的複分04可用於一般性類目，但各國語言複分表中規定詞典複分為3，分類時，若為《藝術詞典》就用通用複分表複分為904；若為《俄語詞典》則須按各國語言複分表來複分，類號為806.13。 錢月蓮敬答  20140523 """
"1214","0000-00-00 00:00:00","24124","您好請問公共圖書館上級主管機關為何？謝謝","2014-05-25","公立公共圖書館種類及其主管機關： 1. 國立圖書館。 主管機關：教育部 2. 直轄市立圖書館。 主管機關：直轄市政府 3. 縣(市)立圖書館及縣(市)文化局(中心)圖書館(以下簡稱縣市圖書館)。 主管機關：縣市政府 4. 鄉(鎮、市)立圖書館(以下簡稱鄉鎮圖書館)。主管機關：鄉鎮市公所及縣市政府 (依據圖書館法第三條：本法所稱主管機關，在中央為教育部；在直轄市為直轄市政府；在縣(市)為縣(市)政府) 錢月蓮敬答  20140526 """
"1215","0000-00-00 00:00:00","24125","國圖編目組你們好~想請教一下分類法的問題:目前國內大學及公共圖書館多為中西圖書採不同分類法(中文圖書分類法,杜威分類法,美國國會分類法等)如果台灣的大學圖書館想採用某一分類法 來統一處理中西文圖書的話,以你們編目員的角度看 你們覺得哪一分類法最適合? 原因? 有可能比中西文分開處理好嗎?謝謝!!","2014-06-03","用一種分類法統一處理不同語文的書，不是不可以，而是會花費更多的編目成本，因為能運用抄錄編目的機會會大幅降低： 假設貴圖書館西文書較多中文書較少，可選擇採用國會圖書館分類法或杜威分類法，因為抄錄LC的書目資料較方便，但處理中文書就得靠自己原編了，無法抄錄本國的CIP或國圖或NBINet的書目資料，凡書都要自己給分類號，在人力不充足的情況下，待編書鐵定會堆積如山高! 假設貴圖書館中文書較多西文書較少，可選擇中文圖書分類法，但必須要培養讀懂外文書內容的編目館員才好作主題編目，找這樣的人才比抄錄LC書目資料更困難。 再則，就閱覽服務而言，以國內的語文環境評估，中外文相互夾雜的排架方式不見得會是受歡迎的方式。另從讀者的檢索習慣來看，用分類法查詢資料者畢竟占少數，所以不必在分類號上費思量。倒是有一種方法可以嘗試，即在外文圖書的書目資料中，增加中文主題詞。 錢月蓮敬答  20140603 """
"1216","0000-00-00 00:00:00","24126","你好，本人對這兩本書的杜威分類法如何選擇主題及如何附加其餘項目的流程不明白，這兩本書想由分類號碼推測過程又應如何做 ? 如果可以的話，希望能解答。News coverage of coal miners' strikes in the United States → 070.4493318928223340973Circulation in monkey brains → 573.8621198","2014-06-09","先聲明本館非使用杜威分類法之圖書館，對杜威分類法並不熟悉，您其實應請教使用杜威分類法圖書館(如輔仁大學、臺北大學、北醫等)才是明智之舉，現僅就手邊有的工具書DDC22解說如下(供參)： 一、《News coverage of coal miners’s strikes in the United States》一書之杜威分類號070.4493318928223340973構成： 此號070.4493318928223340973組配過程可分成4部分說明： 070.449 ＋ 3318928 ＋ 22334 ＋0973 1. 070.449 → Journalism- Specific subjects 新聞專題報導基本號 從書名或內容上就已知道此書是有關美國礦工罷工事件之新聞報導，所以先選070.449新聞專題報導，在此類號下有說明再依001-999主題複分，所以在選strikes罷工方面之類號 2. 331.8928 → Strikes (331.892) – Strikes by industry and occupation (331.8928) 在331.8928下有說明文字：以331.8928為基本號，可再細分，細分方式根據6類之620-690，也就是照某些製造業或行業再予以更精確的分類，於.89282 - .89289 3. 22334 → 查表622.3為Mining for specific materials － 622.33 Carbonaceous materials － 622.334 Coal, graphite, solid and semisolid bitumens 就內容知道其為煤礦，所以於331.8928後在加22334，(4則是根據.331-.337說明要再參考553.21-553.27而來) 4. 0973→ 因報導內容為美國，所以最後加美國史地複分 (Table1-2) 得出070.4493318928223340973這樣複雜的號碼! 二、Circulation in monkey brains，分類號573.8621198 1. 思考的方向是Circulation是集中或分入各別器官或系統? 查表得知573.1 circulatory system類目下有說明：For circulation in a specific system or organ, see the system or organ, plus notation 21 from table under 573，所以決定分類先後次序： (1) 573.86 Central nervous system 腦入此 Life science－Biology－Nervous and sensory systems－Central nervous system (Class here brain) (2)573.86按照573的複分表 (DDC22 v.2 p.1113)＋21 Circulation in the system複分→ 573.8621 腦循環 (3)573.8621→再按571.1指示說明＋198，1是animal, 98是靈長類 573.8621198→靈長類動物的腦循環系統 錢月蓮敬答  20140612 """
"1217","0000-00-00 00:00:00","24127","想請問西文書版權頁上常有以下的數字排列，請問代表甚麼意思?謝謝！例一：10 9 8 7 6 5 4 3 2 例二：14 13 1211 10 9 8 7 6 5","2014-06-10","確實有看過這樣的數字，但不是編目著錄的元素，是出版社自己內部的識別代號，只有出版社自己用得著。 錢月蓮敬答  20140612 """
"1218","0000-00-00 00:00:00","24128","您好： 在西文書編目中，有關精平裝共用一筆書目時，下載的書目300段分欄c為精裝高度，但手邊待邊為平裝書籍，是否要將下載的精裝高度改為平裝的高度？國外編目規則是否有此狀況的說明？煩請解答，謝謝！","2014-06-11","請以在編文獻確實著錄。若手中資料為平裝，即便抄錄的資料是精裝的公分數，也請改為平裝! (除非貴館同時有精裝和平裝) 確實正確著錄資料是編目員應遵守的基本態度和常識，目前，我個人還沒有讀過這麼細節的編目規則，或許，在某個圖書館的作業手冊中會有說明吧。 錢月蓮敬答  20140612 """
"1219","0000-00-00 00:00:00","24129","在版權頁上只有「革新初版第12刷 2010年3月」,但在 CIP 卻錄有「初版 2003年」。編目時版本及出版年應怎樣處理？請指教。謝謝！","2014-06-15","取在編資源上實際印有的資料著錄。 CIP的資料是出版前的資料與後來實際出版的資料有所出入是很常見的事，因為有很多出版社在申請CIP後仍會自行修正出版資料而未通知書號中心，造成資料上的歧異。不過，編目仍應取編目員本身所看到的資料著錄，所謂Take what you see。所以，此例的處理方式可以是這樣的： 250 ## $a革新初版 260 ## $aXXX :$bXXXX, $c2010印刷 500 ## $a本書為2010年3月革新初版第12刷，預行編目資料錄有「初版2003年」 錢月蓮敬答  20140616 """
"1220","0000-00-00 00:00:00","24130","您好，想就上一位junior所提之問題請問，在MARC21裡欄號008出版年該為什麼呢?謝謝您!","2014-06-17","junior的問題：在版權頁上只有「革新初版第12刷 2010年3月」,但在 CIP 卻錄有「初版 2003年」。編目時版本及出版年應怎樣處理？ 除260著錄印刷年外, 定長欄008的部分可以這樣著錄: 008 / 06 日期類型 = r  重印再發行日期與原版日期 008 / 07-10  著錄重印日期  2010 008 / 11-14  著錄原版日期  2003 錢月蓮敬答  20140619 """
"1221","0000-00-00 00:00:00","24131","按 資訊組織規範 > 編目規範 > 中文 > 權威 > 中文名稱權威資料庫, 但未能連綫.","2014-06-17","您好: 有關所提之國家圖書館與臺灣大學圖書館共同建立「中文名稱權威資料庫」，已整合入臺灣書目整合查詢系統，該系統已於102年4月啟用。相關使用操作說明，已請國家書目中心與您連繫說明。 編目園地之編目規範連結已完成更新。感謝您的提醒! 館藏組 陳慧文敬上 """
"1222","0000-00-00 00:00:00","24132","圖書有哪3個內容主題的標目方法？","2017-03-22","Yuki: 您好, 以文字表述圖書主題的方式，一般有： 1. 標題詞 2. 主題詞 (又稱敘詞、敘述詞) 3. 關鍵詞 關鍵詞為非控制自然語，標題與主題詞則為控制語詞，受詞表控制，兩者的差別，在詞彙的組配方式不同。標題是前組式主題法，主題詞是後組式主題法。 (1)前組式(Precoordinated) 主題法 標引用的詞彙，及其複分的先後次序是根據詞表中固定好的形式，詞表先期已由編表人員組配好，編目員只是照表操課。譬如一本內容為中國歷史的書，標題表規定用「中國-歷史」來標引，你就不能用「歷史-中國」。 (2)後組式(Postcoordinated)主題法 即詞表在編表和標引時，事先不把檢索詞彙組配成固定的形式，而是在檢索文獻當下，由編目員或讀者自行組織檢索詞彙，譬如一本內容為中國歷史的書，編目員可根據詞表中的主題詞選擇用「中國史」單一敘詞來表達，亦可以視不同情況用「中國」、「歷史」二詞的組配方式來表達。 錢月蓮敬答  20170323"
"1223","0000-00-00 00:00:00","24133","您好，關於中文圖書分類法(2007年版) 於p.715 甘肅省下之「509 安西縣」經查發現已於2006年2月25日改名為瓜州縣，此地名類目是否需再進行修正更新？還請檢視，謝謝您！","2017-03-23","Fumi: 您好, 我們會盡快更正。 感謝您的提醒，有您真好! 錢月蓮敬答  20130323"
"1224","0000-00-00 00:00:00","24134","你好,想請問一個有關檢索的問題..就是大多圖書館的OPAC 檢索為何都只允許使用右(後)切截 而不允許左(前)切截呢?想了解其中的緣由 謝謝!","2014-06-19","切截就是截字法、截斷法。常用於線上資訊檢索系統，在欲檢索的字之前、之後、之中，加上某個特殊符號，即可檢索到與該字之前、之後、之中相關的結果。 切截分二種：一是以切截字母個數的限制與否，二是以截字母的所在位置。 第二種方式又可分為4類：(1)右截法(Right (Hand) Truncation)；(2)左截法(Left (Hand) Truncation)；(3)字中切截法(Infix Truncation)及(4)左右切截併存法。 右截法： 可將與某字的前數個字母相同者一同檢索出來，如檢索Inter...，自I所在位置向右截，可篩出Interact、Interaction、Interactive、Intercept、Intercourse、Interjoion…等。 左截法：則可將與某字的後數個字母相同者同時檢索出來，如：...Therapy，自T所在位置向左截可檢索出Diet therapy、Physical therapy、Electrotherapy、Movement therapy、Radiotherapy…等各種療法名稱，適用於檢索同一類的完整相關字。 傳統的書目檢索系統，受限於資料庫管理系統特殊的索引製作方式，僅能以布林邏輯及右切截比對功能提供資料查詢，但新一代全文資訊檢索系統則無此限制啊。此方面的問題應請教資訊人員較好。 錢月蓮敬答  20140620 """
"1225","0000-00-00 00:00:00","24135","您好：請問 貴館編目時，「第x屆國際研討會論文集」這樣的圖書，定長欄會議代碼要給「1」嗎，還是不算會議紀錄呢？再請問，二個出版者，都在台北市，210是用2個「$c」區隔，還是用逗號區隔即可，麻煩解惑，感恩！","2014-06-20","1.「第x屆國際研討會論文集」，屬於會議出版品，這樣的圖書008位址29用代碼1 (008/29=1) 2. 出版地同，只要著錄一個。 260 ## $a臺北市 :$bXXX出版 :$bXXXXXX發行, $c2014.06 (MARC21) 210 ## $a臺北市 :$cXXX出版 :$cXXXXXX發行, $d2014.06 (CMARC) 錢月蓮敬答  20140620"
"1226","0000-00-00 00:00:00","24136","以下是主題法的問題；1 使用地方名如城市名（London）、省州名（Ontario、California）等有什麽指引？2 使用地理名如美國南部等有什麽指引？3 《主題表》沒有「描述」一詞，城市介紹（不是遊記）應怎樣處理？4 《主題表》沒有「讀本」一詞，兒童英語讀本應怎樣處理？5 英漢字典是否用：英語、漢語、字典呢？這與漢英字典有何分別？多謝指教！","2014-06-23","1. 地方名為自由詞，屬增詞範圍。可參考中文主題詞表附表三標引詞目, 查無者可自行增加，若主題詞有作權威檔,則可參考 中國編目規則第二十三章 的相關規定。 2. 「描述」是動詞, 不適合作主題詞, 其實用該地的地名即可, 或另再加「概況」一詞。 3. 兒童英語讀本, 可以這樣標引:「英語」、「讀本」、「學齡兒童」或 「學前兒童」。 4. 漢英詞典與英漢詞典，基本上是這兩種語言的詞典，所以可以這樣標引：「漢語」、「英語」、「詞典」。 主題詞的作用僅在用語詞標示文獻的內容, 有其限制性，不同於書名關鍵詞檢索，應視情況選擇適切的檢索策略。不過，可以於分編討論會提出， 看是否要新增「漢英詞典」「英漢詞典」「漢法詞典」...這類詞目! 錢月蓮敬答  20140624 """
"1227","0000-00-00 00:00:00","24137","感謝老師答復： 兒童英語讀本, 可以這樣標引:「英語」、「讀本」、「學齡兒童」或 「學前兒童」。可是，主題表》並沒有「讀本」、「讀物」等相類詞語。請再指教。","2014-06-24","請用「中文主題編目規範系統」查詢主題詞。《中文主題詞表》內容自2005年修訂版後就未再出新版, 所以紙本內容沒有更新, 但系統中的資料有更新。錢月蓮敬答 20140626"
"1228","0000-00-00 00:00:00","24138","請問外文編目中，MARK21的830欄位，分欄n、分欄p、分欄v要如何區分？可否舉一個實際例子同時包含此3個分欄？另若該集叢名稱應用於欄位240和490時，又該如何著錄？另外如：Survival in Athens and Sparta, vol. 1. 在欄位240中，vol. 1要如何著錄？","2014-06-27","1. 欄位830:830 #0 $a集叢題名. $n集叢編次, $p集叢編次名稱；$v集叢編號例:830 #0 $a中學生文庫. $n6, $p史地類；$v20欄位490沒有$n、$p：490 1# $a中學生文庫. 6, 史地類 ; $v202. 與830相關欄位為490、500、533與240似無關係。劃一題名：130 主要款目劃一題名 (沒有1XX段, 以書名為主要款目)240 劃一題名 (有1XX段) 630 主題附加款目劃一題名 730 附加款目劃一題名830 集叢附加款目劃一題名Google Search已知Survival in Athens and Sparta共2冊, 此為一套書，而非叢書，翻譯作品, 可以套編, 2冊著錄於稽核項, 若要單冊編, 240段不錄部冊號, 245段著錄於$n：240 10 $a Survival in Athens and Sparta $l中文( 在欄位240段沒有著錄vol. 1的分欄)245 10 $a雅典•斯巴达大历险. $n1 /$c….錢月蓮敬答 20140630"
"1229","0000-00-00 00:00:00","24139","您好，請教若二個出版者，出版方式同，例如台大出版、文成出版，二者中間是逗號，還是$c呢？1、$a臺北市$c台大$c文成2、$a臺北市$c台大, 文成請教是上面的1還是2，謝謝解答！感恩！","2014-06-27","二個出版者(CMARC)之機讀格式著錄:210 ## $a臺北市$c台大出版$c文成出版$d民XX錢月蓮敬答 20140630"
"1230","0000-00-00 00:00:00","24140","《分類法》的909.8, 909.9 和 910.99 分別是藝術家和音樂家, 但810.9 是文學史, 真的並没有文學家的分類號?","2014-06-30","沒有專號就沒有啊, 並不影響。總傳入782.24文苑；分傳入782.8-。若內容含傳記，但大部分在探討其文學作品者，歸入該作家之文學作品。我認為這樣安排也不無道理, 因文學家與其他學科專家的重疊性相對較高, 譬如許多理工學者或藝術家本身也擅長寫文學作品,它們的傳記您要歸文學類還是其他專科呢?錢月蓮敬答 20140630"
